,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score,user score,developer,players,critics,users
124,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,89,8.1,EASports,Up to 22 ,51,247
125,Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,9.0,Capcom,1 Player,8,526
126,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,8.8,NeversoftEntertainment,1-2 ,18,110
127,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,68,7.1,Nintendo,No Online Multiplayer,34,49
128,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82,8.5,"NeversoftEntertainment,BudCat",1-2 ,24,76
129,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,93,8.5,BethesdaGameStudios,No Online Multiplayer,84,1855
130,Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,88,7.9,"NaughtyDog,SCE/WWS",No Online Multiplayer,66,3327
131,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,8.1,EASports,4  Online,29,127
132,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,80,6.2,TTFusion,No Online Multiplayer,9,69
133,Diddy Kong Racing,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,88,8.5,RareLtd.,1-4 ,15,176
134,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,92,8.8,SCESantaMonica,No Online Multiplayer,101,3304
135,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,81,7.3,UbisoftMontreal,No Online Multiplayer,40,1015
136,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,9.0,NaughtyDog,1-4 ,20,471
137,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,85,4.9,"EASports,EAVancouver",Up to 22 ,42,880
138,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,94,8.7,RocksteadyStudios,No Online Multiplayer,87,1682
139,Driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,7.7,ReflectionsInteractive,1-2 ,14,135
140,The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,78,8.6,RadicalEntertainment,1-4 ,35,191
141,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,7.4,NeversoftEntertainment,1-2 ,19,647
142,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,73,7.8,Nintendo,Up to 4 ,50,153
